,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei
Mn:72.3 Li:27.7,1023.0,1.6666669845581057,1.0130000114440918,1.2,2.3310686606232287
Sr:50.0 Ce:45.0 Yb:5.0,1023.0,1.9850749969482424,1.0130000114440918,0.79,2.3248191525600883
Si:60.9 Na:19.3 Cl:17.2 Mn:1.6 W:1.0,1023.0,1.6,1.01,0.0181941,1.683553283795662
Nd:33.4 Mg:33.3 Li:33.3,1003.0,1.5,1.0130000114440918,0.78,1.680091739573239
La:81.8 Na:18.2,976.0,4.714285850524902,2.8196445958316767,7.200000000000001,1.5149535237142961
Sc:43.5 Ni:42.4 Ge:14.2,1023.0,1.9879519939422607,1.0130000114440918,0.6,0.925361223608429
Ca:62.6 P:28.1 Cl:9.3,1023.0,1.9879519939422607,1.0130000114440918,0.6,0.9247517654201376
Li:52.7 Cd:34.6 Ge:12.7,1023.0,2.0,1.0130000114440918,0.6,0.9000689928069334
Si:36.0 Cl:30.3 K:17.5 Na:14.3 Mn:1.2 W:0.8,1061.2443461897433,1.6,1.01,0.0006600999999999997,0.8944040327071505
Si:39.3 Tl:27.9 Ge:24.9 F:4.2 Mo:3.7,1023.15,2.0430568107500178,1.0,0.03899999999999999,0.8931468159450608
Sc:43.3 Cu:34.7 Ge:22.0,1023.0,0.8000000119209291,1.0130000114440918,2.604619833086057,0.8885191137056423
Si:67.2 F:14.4 Ge:12.8 Sc:3.9 Mn:1.6,1023.0,1.6,0.9253135168635807,0.0006315000000000001,0.8850087826431712
Sc:50.7 Ge:25.4 Bi:23.9,1023.0,2.0149250030517583,1.0130000114440918,0.8,0.8833506080303817
Re:90.5 N:9.5,1023.0,0.7376288957871379,0.6550496460855789,0.6,0.8737017444891921
Sc:47.6 Ti:27.8 Mo:24.6,1023.15,2.0,1.0,1.50343479299839,0.8731524738161738
Sc:45.5 Ni:35.2 Cr:19.3,1053.15,2.0,1.0,0.14361702127659573,0.8706257241868645
Nb:47.1 Cr:28.6 As:24.3,1048.15,2.0,1.0,0.6,0.858025411146841
C:39.2 Ge:22.2 Sc:20.0 F:13.5 Mo:5.1,1023.0,1.6,1.01,0.0006887000000000001,0.8559808965445259
Sc:52.7 Er:41.4 Ge:5.9,1023.0,1.9803919792175293,1.0130000114440918,0.6,0.8528441384807413
Al:40.9 Pd:32.4 Ge:26.7,1048.0,0.6,1.0,0.6,0.8523983177085228
Sc:37.0 Ge:31.8 Hf:31.2,1048.15,2.0,1.0,0.40430987370363436,0.8470251414902621
Ti:37.5 Ge:32.2 Mo:30.3,1023.0,1.5582571503301985,1.0130000114440918,-0.09691001300805639,0.8387215633745346
V:37.3 Cr:34.2 Ge:28.5,1023.0,1.9333330392837524,1.0130000114440918,-0.017728766960431602,0.8274014644476935
Sc:47.1 Tl:29.6 Ge:23.4,1023.15,2.0,1.0,0.4067399130175904,0.825185644403033
Sc:48.1 Mo:31.9 Ge:20.0,1048.0,2.0,1.0,-0.744727494896694,0.8222661506103743
Si:38.8 V:34.1 Ge:27.0,1048.0,2.0,1.0,-0.744727494896694,0.8146548688799122
Ca:36.3 Ge:36.1 Y:27.6,1023.0,1.9879519939422607,1.0130000114440918,-0.2218487496163564,0.8110256399430935
Zn:52.1 Li:47.9,973.0,4.0,1.0130000114440918,0.8604352916817053,0.8066588403672064
V:44.0 Ge:29.8 Ce:26.1,1053.15,2.0,1.0,-0.26324143477458145,0.8065245117042428
Ru:52.1 Ge:26.7 Mo:21.1,1033.15,2.0,1.0,-0.26324143477458145,0.8012437826323675
Mg:82.8 Li:17.2,1043.0,3.0,1.0130000114440918,0.7403626894942439,0.7999612178872675
Sc:37.1 V:35.7 Ge:27.2,1023.0,1.7119883415298618,1.0,-0.744727494896694,0.7891179660883798
Li:52.9 Pm:25.2 V:21.8,1073.0,2.4970059394836426,1.0130000114440918,0.5563025007672873,0.785814093702303
Li:37.1 Nb:36.7 Mo:26.1,1023.0,1.9803919792175293,1.0130000114440918,-0.3010299956639812,0.7840101331189664
Ge:45.6 Zr:34.3 F:20.2,1023.15,1.196456809067945,1.0,-0.2218487496163564,0.7696426066287017
Si:52.6 As:28.7 Ge:18.7,1043.2553826478334,1.5663788282480449,1.0,-0.2887075545237634,0.7696224006482273
Sc:46.3 Ge:37.7 Tl:16.0,1023.0,2.0,1.0130000114440918,-0.2218487496163564,0.7644717089218325
Si:41.0 Ge:31.7 Nb:27.3,1053.15,2.0,1.6968520969655938,-1.7352862244982967,0.7522360197743254
Sc:53.3 Si:24.7 Ge:22.0,1053.15,1.9435472725242555,1.0,-1.5661899268272739,0.7453929284267695
Sc:49.8 Ge:32.1 Sb:18.1,1048.0,2.0303030014038086,1.0130000114440918,-0.5228787452803376,0.7411633564557281
V:38.5 Sc:34.0 F:27.5,1023.0,0.8000000119209291,1.0130000114440918,-0.619788758288394,0.7409390917418293
