,Prom,Prep,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei,make_nei,cluster,pred_y,mean,sigma,CI_low,CI_high
Sr:58.1 Yb:36.4 Gd:5.4,,Hydrothermal treatment,1023.0,0.8000000119209291,1.0130000114440918,0.24,1.8039607414284815,False,2,27.27389002504298,27.27389002504298,10.537710388397597,6.61997766378369,47.927802386302275
Mn:70.6 Li:27.0 Cl:2.4,Promotor_B,n.a.,1023.0,1.6666669845581057,1.0130000114440918,1.2,1.6200683169309391,False,71,31.130709238917056,31.130709238917056,7.006232471297258,17.39849359517443,44.862924882659684
La:88.0 Ni:10.3 Sr:1.7,,n.a.,1098.0,4.0,1.9,0.0038543174465508812,1.2788773952233048,False,16,24.30667408308539,24.306674083085387,11.327961322038426,2.1038698918900707,46.5094782742807
La:42.1 Y:42.1 Yb:15.8,,Therm.decomp.,1023.0,1.9803919792175293,1.0130000114440918,0.5,1.2719967890193011,False,50,25.367591855741484,25.367591855741487,10.518923934995726,4.750500943149863,45.984682768333116
Si:56.8 Cl:18.8 Na:18.8 Zn:3.9 Mn:1.8,,Physical mixing,1023.0,1.6,1.01,0.0006315,1.2516825878944,False,38,27.50983925365937,27.50983925365937,8.478860850892396,10.891271985910272,44.128406521408465
Nd:32.0 Mg:32.0 Li:32.0 Br:4.0,,n.a.,1003.0,1.5,1.0130000114440918,0.78,1.2016356855805042,False,94,23.641585077076353,23.641585077076353,11.197163917127906,1.695143799505658,45.58802635464705
Sr:42.7 Ce:38.4 Y:14.6 Yb:4.3 Rh:0.1,,n.a.,1023.0,1.9850749969482424,1.0130000114440918,0.79,1.2011381208248708,False,84,23.81061496185235,23.810614961852348,11.356624891790638,1.5516301739426979,46.069599749762
Zr:67.9 Cr:18.7 Yb:13.4,,Solid-phase technique,1023.0,1.9879519939422607,1.0130000114440918,1.2,1.1850351026501844,False,1,20.5320925295484,20.5320925295484,13.148627425129419,-5.2392172237052606,46.30340228280206
La:81.8 Na:18.2,,IJP-A synthesis,976.0,4.714285850524902,1.0130000114440918,7.2,1.1522621216879032,False,35,29.6200989314557,29.6200989314557,6.853128899089172,16.187966289240926,43.052231573670475
Nb:46.6 Na:46.6 Yb:6.8,,Therm.decomp.,1023.0,1.9803919792175293,1.0130000114440918,0.5,0.9855413176328462,False,49,24.019310780700717,24.019310780700717,10.478192721261799,3.482053047027591,44.55656851437384
Mg:77.2 Li:16.0 P:6.7,,n.a.,1043.0,3.0,1.0130000114440918,5.5,0.9581497419444988,False,27,23.6821204160305,23.682120416030504,10.227682672740583,3.635862377458963,43.728378454602044
Mg:83.1 Co:9.2 Yb:7.6,,Citrate method,1023.0,1.9375,1.0130000114440918,1.229,0.9386065381367444,False,53,22.241520527528763,22.241520527528763,11.400588270804175,-0.10363248324742003,44.58667353830495
Mg:55.9 Fe:32.9 Yb:6.4 Li:3.2 C:1.6,,Ceramic method,1023.0,2.0303030014038086,1.0130000114440918,0.16,0.8822125398421146,False,40,17.649346064679225,17.64934606467923,13.94032014426964,-9.673681418089263,44.97237354744772
