,0,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei
Sr:45.3 Ce:40.8 Co:4.8 Mo:4.6 Yb:4.5,n.a.,1023.0,1.9850749969482424,1.0130000114440918,0.79,2.231266443931773
Ti:33.5 Dy:22.4 K:22.4 Yb:21.8,SPS,1023.0,1.9333330392837524,1.0130000114440918,1.0,2.1008959030315726
Sr:50.0 Ce:45.0 Yb:5.0,Solid-phase technique,1023.0,1.985293984413147,1.0130000114440918,0.72,2.021749364447873
Gd:29.2 Sr:13.4 Te:13.1 Yb:11.8 Br:10.0 Dy:7.6 Zr:7.5 Cr:7.4,Solid-phase technique,1023.0,1.9308829109163317,1.0130000114440918,0.48,1.8833419835946217
Nd:54.0 Cs:26.0 Sc:7.2 Tm:6.9 Yb:5.0 Co:0.8,Mech. Mixing,1023.0,1.6701042136613942,1.0130000114440918,0.6,1.8414640877923611
Zn:82.2 Yb:17.8,Precipitation,1023.0,2.0,1.0130000114440918,0.6,1.8159335517067188
Be:21.4 Yb:20.9 Ca:18.4 Dy:11.2 P:8.3 Fe:8.2 N:5.9 Ta:5.7,Mech. Mixing,1023.0,1.9879519939422607,1.0130000114440918,0.6,1.8115605777391532
Nb:21.4 K:21.4 Be:17.0 Ti:12.3 Yb:11.8 Ho:8.3 Mg:4.7 Er:3.2,SPS,1023.0,1.9803919792175293,1.0130000114440918,0.043128172173641975,1.8077400893020468
La:19.8 Lu:19.4 Dy:18.3 Be:17.3 Cr:9.6 Yb:6.2 Y:4.9 Mo:4.5,Hydrothermal treatment,1023.0,2.0149250030517583,1.0130000114440918,0.8,1.7717275991682444
Mg:35.7 Ho:14.6 W:13.2 Sb:9.5 N:9.3 Br:7.3 Yb:7.2 Al:3.1,Hydrothermal treatment,1023.0,1.840776962441588,1.0,0.00466,1.7276001614517948
Pr:30.2 Mg:17.4 Mn:16.2 Pb:9.1 C:7.5 In:6.9 Sn:6.7 Yb:5.9,SGS,1023.0,2.0303030014038086,1.0130000114440918,1.93904574194276,1.7083722147347724
Cs:19.5 Tb:15.8 Ti:15.3 Ce:14.9 Yb:14.7 K:10.7 Sn:4.7 Fe:4.4,SGS,1023.15,1.8421052631578947,1.0,0.3877119753450055,1.696374965428916
Pb:21.4 Eu:18.7 Sc:15.1 Zr:15.0 Mn:10.1 Y:8.3 Yb:6.0 La:5.4,Pyrolysis,1033.0,1.9523730174895917,1.0,1.0523580615824348,1.6673670695518044
Al:19.2 Mg:18.8 Ni:13.4 Ta:12.1 Cr:10.5 Sm:9.1 S:8.8 Yb:8.1,Pyrolysis,1024.9120504634582,2.0,1.3640380115124742,0.009722222222222222,1.6428795705499903
Mg:18.9 W:18.2 Sr:15.9 Tm:12.9 Al:11.7 Er:10.5 Cd:6.6 Yb:5.4,Hydrothermal treatment,1004.6423590848414,2.009174108505249,1.0130000114440918,2.432,1.6026330649151328
Mg:29.6 Tm:28.5 Bi:12.4 Cr:10.6 Cs:7.3 Yb:5.1 Ag:4.8 Li:1.7,Hydrothermal treatment,1023.0,2.0,1.0,0.8,1.6000466522541583
Zr:18.5 La:18.5 Al:16.6 Ca:16.1 Pr:12.0 Fe:8.4 Yb:5.5 Rb:4.5,SGS,1023.15,1.432951788255516,1.0,0.36,1.5666506398083977
Si:50.8 B:16.7 Na:16.0 Cl:14.3 Mn:1.3 W:0.8,Physical mixing,1023.0,1.6,1.01,0.0181941,1.5375660001104825
Ti:49.3 Gd:26.1 Y:12.0 Yb:8.9 Mn:1.5 Na:1.4 W:0.7,Pechini method,1023.0,2.0,1.0,0.18,1.5369628176827177
Ti:19.6 Tm:16.8 Be:13.8 Cs:12.5 Zr:12.1 Mg:10.9 Yb:7.2 Lu:7.1,Hydrothermal treatment,1003.0,2.003002882003784,1.0130000114440918,1.32,1.5131019255447766
La:20.4 Ti:20.4 Sr:17.1 Pr:14.0 Mo:12.0 Ge:6.6 Yb:5.0 Sc:4.5,Electrospining,1023.15,0.574421152726603,1.0,0.03554923569143263,1.4854255063151929
Si:36.2 Sr:18.4 Ca:13.8 Lu:9.6 Zn:8.9 Na:6.4 Yb:5.2 S:1.6,Slurry,1023.0,1.9706806085696569,1.0,0.2264,1.3909165961634709
Si:30.6 Ce:20.2 Ni:16.3 Pr:12.0 P:8.1 Mn:7.2 Yb:5.0 Na:0.7,Microemulsion,1013.15,2.0,1.8231634642559096,0.5454545454545454,1.3450774626943347
Si:31.1 Nd:20.7 Ho:10.6 K:9.3 Tb:7.7 W:7.7 Be:7.1 Yb:5.8,Citrate method,1019.0,2.0,1.0,0.04539444798527017,1.3448605394010995
Mg:42.2 Yb:20.8 Ho:16.5 Li:7.9 Lu:4.9 P:4.4 Pr:2.7 In:0.6,Precipitation,1023.15,1.075223872403981,1.0,1.5,1.2661977595321032
Bi:50.6 Ge:25.3 Y:14.9 Yb:9.2,Therm.decomp.,1053.0,2.0,1.0130000114440918,1.8,1.2590947112821511
Si:20.6 Br:15.8 Er:14.0 Bi:13.9 Yb:13.7 Cr:8.3 Cd:7.0 Pr:6.7,Citric acid method,1000.0520905056227,2.1,1.0,0.852633417251879,1.1270854150499523
Si:51.9 Sr:20.2 Nd:12.4 Na:9.0 Yb:4.7 Mn:1.2 W:0.6,Mech. Mixing,1013.15,1.5542881624508411,1.0,0.09208505985780943,1.1211701773609284
Na:44.9 Mo:22.4 W:14.6 Sb:10.9 Yb:5.1 Sn:2.2,Electrospining,999.0,1.1008399724960327,1.0130000114440918,4.1,1.092612475588997
Be:25.9 Ti:24.3 Sr:13.3 Yb:8.9 Nd:8.7 P:7.0 Cr:6.1 Pr:5.6,Microemulsion,979.6292028818834,2.0,1.0,0.8744259275690209,1.0800642156273677
Sm:33.3 Tm:28.8 Ta:11.8 Yb:8.3 Cr:6.0 Pr:4.9 Ge:4.3 K:2.7,Mech. Mixing,973.0,2.0,1.0130000114440918,0.8,1.0160689407149144
