,0,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei
Sr:49.8 Ce:44.8 Yb:5.0 Sn:0.3,Physical mixing,1023.0,1.9850749969482424,1.0130000114440918,0.79,1.7891643543672808
Si:60.9 Na:19.3 Cl:17.2 Mn:1.6 W:1.0,Solid-phase technique,1023.0,1.6,1.01,0.0181941,1.7422297244782563
Mn:66.3 Li:25.4 Mg:8.3,n.a.,1023.0,1.6666669845581057,1.0130000114440918,1.2,1.3982918586784772
La:96.9 Sr:1.8 In:1.3,Citrate method,1098.0,4.0,1.9,0.0038543174465508812,1.2978428207892518
Nd:33.4 Mg:33.3 Li:33.3,Precipitation,1003.0,1.5,1.0130000114440918,0.78,1.2551979209839286
Mg:68.7 Nd:22.2 Yb:8.5 Mn:0.6,Precipitation,1023.0,1.9375,1.0130000114440918,1.229,1.1384321161767421
La:64.4 Na:35.6,Precipitation,976.0,4.714285850524902,1.0130000114440918,7.2,1.1248251470718855
Na:59.0 Yb:21.3 Mo:19.7,n.a.,1002.0,1.1326320171356201,1.0130000114440918,3.75,0.9651803912126328
Mg:82.4 Li:16.0 C:1.6,Pyrolysis,1043.0,3.0,1.0130000114440918,5.5,0.8270099162308309
Sn:40.8 Y:40.8 Yb:18.3,Microemulsion,973.0,1.95488703250885,1.0130000114440918,0.8,0.8110730464696587
Ba:32.3 Sn:32.3 Ti:32.3 P:3.2,Ceramic method,1023.15,2.0,1.0,0.6,0.7985846396998828
La:44.2 Sr:44.2 Yb:11.6,Therm.decomp.,973.0,0.8000000119209291,1.0130000114440918,0.24,0.6662590649499534
La:53.4 Li:44.6 Ru:1.3 K:0.5 Pd:0.3,Sol-gel,977.0,4.2142858505249015,1.0130000114440918,8.0,0.6160900062777082
Li:59.9 Ti:30.0 Mn:10.1,n.a.,1073.0,2.4970059394836426,1.0130000114440918,3.6,0.6081840034182441
Ca:64.8 Yb:26.5 Mg:8.7,SCS,1052.7242773049636,2.0,1.0130000114440918,0.194,0.579451728884677
Si:28.0 Cl:23.6 Zn:17.3 K:13.6 Na:11.1 Rb:3.1 Tl:2.4 Mn:0.9,Physical mixing,1023.0,1.6,1.01,0.0006600999999999999,0.565916551779956
Nb:35.8 K:35.8 Sc:10.7 Tb:8.1 Yb:5.2 Sm:4.4 Ir:0.0,SPS,1023.0,1.9803919792175293,1.0130000114440918,2.80497349289725,0.5630224737439136
La:82.1 K:10.7 Pb:7.2 Ir:0.0,Citric acid method,974.0,4.714285850524902,1.0130000114440918,7.2,0.561051114557553
Si:46.4 C:46.4 Yb:7.2,Slurry,1023.0,2.0303030014038086,1.0130000114440918,3.0,0.5587842987644824
Mg:63.7 Yb:30.8 Tb:4.9 Fe:0.6,Citric acid method,873.15,0.9406979828314004,1.0,1.475409836065574,0.5261763105575117
Mg:28.9 Dy:23.5 Tb:12.2 F:10.8 Yb:9.8 B:6.0 Zr:5.5 Bi:3.3,Electrospining,1023.0,1.9375,1.0130000114440918,1.229,0.5139395919649585
Gd:68.0 W:22.5 Yb:9.5,Sol-gel,1023.0,2.477612018585205,1.0130000114440918,0.6,0.4918948067747895
La:65.5 Yb:27.9 W:6.6,SCS,923.15,1.034101709689513,1.0118786788962308,0.05,0.4741349241101514
Mn:63.6 Cl:15.9 Na:15.9 Ga:2.7 Ta:1.8,Citric acid method,1023.0,1.9964790344238281,1.0130000114440918,0.24,0.4583228121886289
K:37.7 Yb:20.1 S:18.8 N:10.6 B:5.0 Mg:4.4 Ba:2.6 Tb:0.8,Microemulsion,1023.0,2.0,1.0130000114440918,2.0,0.4364170399945786
Sr:26.8 Ni:14.5 Yb:14.0 P:12.5 Na:9.4 Zr:8.4 Nd:7.4 Ru:7.1,Physical mixing,1023.0,1.9879519939422607,1.0130000114440918,0.6,0.4215107193821632
Zr:30.7 Ca:24.6 Cl:18.5 Na:18.5 Y:7.7,Physical mixing,1023.0,1.9879519939422607,1.0130000114440918,1.2,0.40818441643653225
La:82.6 Al:15.9 Sr:1.6,n.a.,1098.0,4.0,1.9,1.1386085042791716,0.3964087291439591
Mg:35.2 Yb:31.1 Sm:16.1 N:6.5 Na:3.7 Si:3.0 Pb:2.8 Ta:1.7,SCS,1053.0,1.7603603821758351,1.0130000114440918,0.035,0.3832047515000676
Sn:35.5 Ti:35.5 Tm:29.0,Ceramic method,1073.15,2.0,1.0,0.12880143112701253,0.3754133795545507
Al:29.6 Lu:27.9 Cs:13.2 Si:7.8 K:7.3 Yb:7.3 Br:5.0 Fe:2.0,n.a.,1023.0,2.0,1.0130000114440918,1.6,0.3734062896498367
