,Li,Be,B,C,N,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Tl,Pb,Bi,1_electronegativity,1_delta_fus H,1_density,2_electronegativity,2_delta_fus H,2_density,3_electronegativity,3_delta_fus H,3_density,4_electronegativity,4_delta_fus H,4_density,5_electronegativity,5_delta_fus H,5_density,6_electronegativity,6_delta_fus H,6_density,7_electronegativity,7_delta_fus H,7_density,8_electronegativity,8_delta_fus H,8_density,Promotor_Cl,Promotor_P,Promotor_B,Promotor_Br,Promotor_S,Promotor_Cl_B,Promotor_F,Impregnation,Therm.decomp.,Precipitation,Sol-gel,Pyrolysis,Mech. Mixing,Physical mixing,Citric acid method,Slurry,Ceramic method,Solid-phase technique,Citrate method,Hydrothermal treatment,Microemulsion,Electrospining,SCS,SGS,SPS,IJP-A synthesis,Pechini method,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei,make_nei,cluster,pred_y,sigma,CI_low,CI_high
0,27.70000076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.30000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.6800049,933.3930394,527.7900223,26.86900074,83.10000229,14.79180041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1023,1.666666985,1.013000011,1.2,2.294257804,FALSE,31,25.69275887,13.51625076,-0.799092612,52.18461035
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,49.5,371.5,132,48.6,245.7,304.65,5.3,38.3,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1023,1.985074997,1.013000011,0.79,2.289852669,FALSE,79,25.88129887,13.34722751,-0.279267054,52.04186479
2,0,0,0,0,0,0,19.2506,0,0,60.90628,0,0,17.2148,0,0,0,0,0,0,1.61042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0179,0,0,0,0,0,0,0,0,105.9769272,3058.104319,141.8507261,19.443106,50.05156,18.673082,48.717884,110.17472,132.741965,2.576672,20.7905222,11.756066,1.42506,53.246349,19.64547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1023,1.6,1.01,0.0181941,1.671710078,FALSE,41,25.5492635,11.70838707,2.600824847,48.49770216
3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1032.8,584,19.4,60,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1023,1.961537957,1,0.6,1.370826139,FALSE,74,23.63439867,12.12257295,-0.125844309,47.39464164
4,17.20000076,0,0,0,0,0,0,82.80000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.8440038,702.1440259,144.0720053,16.68400074,51.60000229,9.184800407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1043,3,1.013000011,5.5,1.309948204,FALSE,65,22.96944031,12.37512029,-1.285795447,47.22467608
5,0,0,0,42.72993836,0,0,0,0,0,0,0,0,0,10.10173512,0,23.59737757,0,0,0,0,0,0,0,0,0,0,17.80734205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.763606901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.8248459,4999.402788,94.0058644,28.31685308,332.7230237,70.55615894,35.97083094,657.8032153,94.79560466,9.192578957,23.53704283,8.990544255,12.73757125,89.45117911,28.43187284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,1.6,1.01,0.000665,1.286367986,FALSE,6,23.998899,11.56079618,1.33973848,46.65805952
6,0,0,0,0,0,0,0,21.97539774,0,45.85475476,0,0,0,0,0,5.961319344,0,0,0,0,0,0,0,0,0,0,5.733376675,0,0,0,0,0,0,0,0,0,20.47515148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.78727329,2302.367237,106.7957238,27.02973922,186.3513728,38.23719207,29.0747151,790.1360956,247.7493329,7.153583213,84.05460275,17.82434484,11.58142088,211.7909344,30.52105739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,1.624705937,1.391861774,0.027932961,1.220073217,FALSE,10,23.47768456,11.68834774,0.568522987,46.38684614
7,0,6.724834263,0,0,0,0,0,0,0,0,0,0,0,0,0,30.74529436,0,0,0,0,0,0,0,0,0,0,30.9305687,25.31902333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.280279345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.47974877,1142.575208,164.6557894,36.89435324,433.5086505,91.92843015,55.70185132,618.7969301,145.5843841,9.885506367,53.09256651,12.44094339,13.87941735,97.46993544,30.98061801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1023.15,1.406446199,2.749855551,0.125875,1.054595707,FALSE,49,22.75373373,11.55467692,0.106566971,45.40090049
8,0,0,0,0,0,0,0,14.38860067,9.041852394,35.52861137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3919289,0,0,2.101191711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.547814957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.81978378,1783.891577,82.74613587,88.75388519,342.3826885,249.7716089,17.69797883,122.0153337,25.03616517,13.29152302,97.55254548,24.41300146,7.202596453,111.3128543,57.62077162,2.332322799,23.9535855,9.392326946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,1.275927076,1.01,0.0006601,1.013728373,FALSE,38,25.53645838,9.485792642,6.944304803,44.12861196
9,0,0,0,0,0,0,0,36.03829495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.64411461,0,0,0,0,0,0,0,0,30.31759043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.32710279,305.6047412,62.70663322,67.96111152,1242.813594,179.1010797,39.41286756,1136.303289,309.2394224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,2.497005939,1.013000011,3.6,0.952395837,FALSE,51,23.96609744,10.33608856,3.707363863,44.22483102
