,Nr of publication,Element 1,C 1,Element 2,C 2,Element 3,C 3,Element 4,C 4,Element 5,C 5,Element 6,C 6,Element 7,C 7,Element 8,C 8,Potential Yield
0,1.0,Al,90.8000030517578,Mn,9.199999809265137,,,,,,,,,,,,,5.900347928657559
1,1.0,Al,95.3000030517578,Cd,4.699999809265137,,,,,,,,,,,,,5.432401024685918
2,1.0,Al,95.5,Sn,4.5,,,,,,,,,,,,,3.848466103717405
3,1.0,Al,89.5999984741211,Ti,10.399999618530273,,,,,,,,,,,,,5.414629418824349
4,1.0,Al,97.1999969482422,Pt,2.799999952316284,,,,,,,,,,,,,3.7100557466792816
5,1.0,Al,96.1999969482422,Ce,3.7999999523162837,,,,,,,,,,,,,4.270652678196759
6,1.0,Al,97.4000015258789,Pb,2.5999999046325684,,,,,,,,,,,,,4.529370196727625
7,1.0,Al,97.4000015258789,Bi,2.5999999046325684,,,,,,,,,,,,,3.8197306667878186
8,1.0,Al,94.5,Mo,5.5,,,,,,,,,,,,,3.831368181505061
9,1.0,Al,92.0,Cu,8.0,,,,,,,,,,,,,3.934249964551284
10,1.0,Al,95.5999984741211,Sb,4.400000095367432,,,,,,,,,,,,,4.279443475782469
11,1.0,Li,44.599998474121094,Al,55.4000015258789,,,,,,,,,,,,,7.979300411750338
12,1.0,Mg,18.700000762939453,Al,81.30000305175781,,,,,,,,,,,,,5.125713403656257
13,2.0,Al,90.0,Pb,10.0,,,,,,,,,,,,,7.123660699979826
14,2.0,Pb,10.0,Bi,90.0,,,,,,,,,,,,,9.662181300302997
15,2.0,Al,50.0,Pb,50.0,,,,,,,,,,,,,8.062132874918944
16,2.0,Al,80.0,Pb,20.0,,,,,,,,,,,,,7.352761587145207
17,3.0,Li,30.29999923706055,Mg,69.69999694824219,,,,,,,,,,,,,13.164469114731839
18,4.0,Mg,66.69999694824219,S,33.299999237060554,,,,,,,,,,,,,9.179622269892363
19,4.0,Mg,55.0,S,45.0,,,,,,,,,,,,,9.019857784271496
20,4.0,Na,7.0,Mg,33.0,S,60.0,,,,,,,,,,,9.905002535856584
21,4.0,Na,5.5,Ca,94.5,,,,,,,,,,,,,9.972997598284767
22,4.0,Si,30.70000076293945,Ca,61.29999923706055,Pb,8.0,,,,,,,,,,,9.518305243650827
23,4.0,Li,6.0,Ca,94.0,,,,,,,,,,,,,11.241384224151881
24,4.0,K,62.0,Ca,38.0,,,,,,,,,,,,,9.187091428139183
25,4.0,Na,3.5999999046325684,S,1.7999999523162842,Ca,94.5999984741211,,,,,,,,,,,9.574003442409266
26,4.0,C,4.900000095367432,Na,9.800000190734863,Ca,85.30000305175781,,,,,,,,,,,9.801523462650628
27,4.0,S,6.0,K,12.0,Ca,82.0,,,,,,,,,,,9.272487874113729
28,4.0,K,8.0,Ca,92.0,,,,,,,,,,,,,9.321971683258234
29,4.0,Na,7.0,Ca,93.0,,,,,,,,,,,,,10.106375951866633
30,4.0,C,6.5,K,13.0,Ca,80.5,,,,,,,,,,,9.037871450938567
31,4.0,Li,5.400000095367432,S,2.700000047683716,Ca,91.9000015258789,,,,,,,,,,,12.17857928221158
32,4.0,Na,36.0,Al,46.0,S,18.0,,,,,,,,,,,8.839916802027133
33,4.0,Li,13.0,Al,87.0,,,,,,,,,,,,,7.148909071608754
34,4.0,Be,100.0,,,,,,,,,,,,,,,8.984840860577
35,4.0,Mg,100.0,,,,,,,,,,,,,,,8.165579636339915
36,4.0,Mg,50.0,S,50.0,,,,,,,,,,,,,9.355930723571188
37,4.0,C,33.299999237060554,K,66.69999694824219,,,,,,,,,,,,,8.62066808071876
38,4.0,C,33.299999237060554,Na,66.69999694824219,,,,,,,,,,,,,10.162235877195041
39,4.0,Si,44.0,Ca,56.0,,,,,,,,,,,,,7.56209833972886
40,4.0,Mg,100.0,,,,,,,,,,,,,,,8.097741102133227
41,4.0,C,50.0,Ca,50.0,,,,,,,,,,,,,8.087865212810193
42,4.0,Ca,100.0,,,,,,,,,,,,,,,8.177952134635474
43,4.0,Sr,100.0,,,,,,,,,,,,,,,10.217376265706339
44,4.0,Ba,100.0,,,,,,,,,,,,,,,9.17123791544445
45,4.0,C,2.5999999046325684,K,5.300000190734863,Pb,92.0999984741211,,,,,,,,,,,9.76655006675609
46,4.0,C,8.0,Na,2.0,K,16.0,Ca,37.0,Sr,37.0,,,,,,,10.608392938112276
47,4.0,Ca,66.19999694824219,Pb,33.799999237060554,,,,,,,,,,,,,9.80599337851698
48,4.0,P,34.0,S,7.5,Ca,51.0,Pb,7.5,,,,,,,,,10.751960628362333
49,4.0,Ca,95.4000015258789,Sr,4.599999904632568,,,,,,,,,,,,,9.872318377011378
50,4.0,Al,100.0,,,,,,,,,,,,,,,4.538479618172235
51,5.0,Na,3.7999999523162837,Mg,92.4000015258789,Mn,3.7999999523162837,,,,,,,,,,,10.83457619951379
52,5.0,Na,3.7999999523162837,Mg,85.4000015258789,Si,7.0,Mn,3.7999999523162837,,,,,,,,,11.307917110834058
53,6.0,Si,100.0,,,,,,,,,,,,,,,4.278879804423611
54,6.0,Al,2.0,Zr,98.0,,,,,,,,,,,,,7.689184169810889
55,6.0,Si,98.0,K,1.0,Br,1.0,,,,,,,,,,,4.83621537438077
56,7.0,Li,10.0,La,90.0,,,,,,,,,,,,,12.932173477303389
57,7.0,Na,10.0,La,90.0,,,,,,,,,,,,,12.078159020689423
58,7.0,K,10.0,La,90.0,,,,,,,,,,,,,11.81545616399374
59,7.0,Mg,10.0,La,90.0,,,,,,,,,,,,,11.985735054775407
60,7.0,Ca,10.0,La,90.0,,,,,,,,,,,,,11.673378940425057
61,7.0,Sr,10.0,La,90.0,,,,,,,,,,,,,13.660708855408696
62,7.0,Ba,10.0,La,90.0,,,,,,,,,,,,,12.476318399856453
63,7.0,La,90.0,Pb,10.0,,,,,,,,,,,,,11.757728140018617
64,7.0,La,90.0,Bi,10.0,,,,,,,,,,,,,11.713940504482947
