,0,0,0,0,1,2,3,0
0,Mn:72.3 Li:27.7,Solid-phase technique,Promotor_B,1023.0,1.6666669845581057,1.0130000114440918,1.2,2.2942578037394465
1,Sr:50.0 Ce:45.0 Yb:5.0,Solid-phase technique,,1023.0,1.9850749969482424,1.0130000114440918,0.79,2.289852669101311
2,Si:60.9 Na:19.3 Cl:17.2 Mn:1.6 W:1.0,Hydrothermal treatment,,1023.0,1.6,1.01,0.0181941,1.6717100783313739
3,Mn:80.0 Li:20.0,Solid-phase technique,Promotor_Cl,1023.0,1.9615379571914675,1.0,0.6,1.3708261394090535
4,Mg:82.8 Li:17.2,Solid-phase technique,,1043.0,3.0,1.0130000114440918,5.5,1.3099482041033577
5,C:42.7 Sc:23.6 Ge:17.8 K:10.1 I:5.8,Physical mixing,,1023.0,1.6,1.01,0.000665,1.2863679859976114
6,Si:45.9 Mg:22.0 Ru:20.5 Sc:6.0 Ge:5.7,Physical mixing,,1023.0,1.6247059372561627,1.3918617744725086,0.02793296089385475,1.2200732170871076
7,Ge:30.9 Sc:30.7 As:25.3 Be:6.7 I:6.3,Physical mixing,,1023.15,1.4064461990271808,2.7498555509188742,0.125875,1.0545957067989706
8,Si:35.5 Br:32.4 Mg:14.4 Al:9.0 Ho:6.5 Y:2.1,Physical mixing,,1023.0,1.2759270760896506,1.01,0.0006600999999999999,1.0137283726414466
9,Mg:36.0 Ge:33.6 Mo:30.3,Precipitation,Promotor_S,1073.0,2.4970059394836426,1.0130000114440918,3.6,0.9523958365327688
10,La:46.4 Ge:27.9 Cu:25.7,Ceramic method,,1023.0,1.9354840517044067,0.6764243952138316,2.4,0.9477172252086352
11,Sc:36.9 Ca:32.9 Mo:30.2,Ceramic method,,1039.6815457816583,0.9023654716478392,0.7040347635262235,1.7886721518705584,0.924281821099168
12,Nd:83.6 Ge:16.4,Hydrothermal treatment,,1100.0,3.950000047683716,2.2444079319707426,0.3508914332429268,0.9206079729374894
13,Si:34.4 Ca:29.1 Ge:23.2 Nb:9.7 As:3.6,Physical mixing,,1002.0039905166934,1.3925706751055402,1.9043282978016856,0.020084085370752208,0.9141809964137256
14,C:45.8 Sc:20.8 Ge:20.3 Mo:7.7 Nb:5.3,Physical mixing,,1015.0482330005257,0.8881936038739906,2.958299819688518,0.0435584,0.9069728929138096
15,Sc:49.4 Au:34.1 Ge:16.5,Ceramic method,,1023.0,2.0,1.0130000114440918,2.0,0.8970455051895523
16,C:38.8 Sc:31.5 Ge:16.0 As:7.9 Rh:5.8,Physical mixing,,1016.721122442242,0.6316357179851664,3.0177196870239302,0.07200000000000001,0.8942845922381186
17,Mo:38.9 V:37.9 Ge:23.2,Ceramic method,,1048.15,2.0,0.8475073566342898,2.0296239536671266,0.8929096439572537
18,Sr:45.7 Ge:33.7 As:20.6,Ceramic method,,1023.0,1.9879519939422607,0.6918617423295049,1.2,0.8928170148429879
19,Sc:38.7 Mo:37.5 Ca:23.9,Ceramic method,,1023.0,1.9607839584350584,1.0130000114440918,4.1,0.8828480346645784
20,Sc:42.8 Ge:32.5 Pd:24.7,Ceramic method,,1023.0,1.9879519939422607,3.133758787893312,0.6,0.8814564000025418
21,Ge:32.7 Sc:23.2 C:19.5 Mn:19.2 Mo:5.4,Physical mixing,,1023.0,1.6,1.01,0.0005744,0.8676422234580896
22,Ca:43.5 Si:34.3 Pd:22.3,Ceramic method,,1023.0,0.62557007091862,1.0130000114440918,0.7061086467587965,0.8643111482961154
23,V:44.8 As:28.3 Y:27.0,Ceramic method,,1023.15,2.0,1.0,0.6,0.8588627392444133
24,Ge:41.4 Gd:30.4 Mo:28.2,Ceramic method,,1038.15,2.0,1.0,0.14361702127659576,0.8565496142618518
25,Si:40.9 V:30.1 Tb:29.0,Ceramic method,,1048.0,1.0868028202809314,0.6230537687016104,1.109313219924079,0.84760658214762
26,C:37.8 Sc:36.8 Ge:25.4,Ceramic method,,1030.515514177818,1.380178343433017,1.0,0.0428119,0.8377331823052887
27,Si:46.9 Ge:27.4 Ni:25.6,Ceramic method,,1023.15,0.8904560442822426,1.0,0.02770083102493075,0.8374412165274874
28,Ge:38.8 Tm:38.0 Tb:23.2,Ceramic method,,1023.15,1.9664502180832788,1.0,2.2308895861289884,0.8310678212490077
29,Cd:50.7 Sc:35.7 Ge:13.6,Ceramic method,,1023.0,0.660871737679426,1.0130000114440918,0.72,0.8299723150523566
30,C:46.3 Sc:32.8 Ge:20.9,Ceramic method,,1048.15,1.5851073665689808,1.0,0.36,0.825222334178678
31,Cr:38.0 Y:33.2 Ba:28.8,Ceramic method,,1023.15,2.0,1.0,0.6,0.8246488307143314
32,C:38.1 Ge:31.8 Al:30.1,Ceramic method,,1046.6163795054476,2.0,6.73332933733691,0.5488250341057269,0.8215331881609103
33,Mo:39.1 Ge:30.7 Si:30.2,Ceramic method,,1046.402562225245,2.0,0.9624912629310408,0.87,0.8214329521500625
34,Ca:41.5 Na:38.0 Ge:20.5,Ceramic method,,1053.0,0.7620971805740655,0.3854155151036322,0.035,0.81234880027234
35,C:38.2 Ge:31.6 Si:30.2,Ceramic method,,1048.15,1.416716872989724,1.0,0.36,0.8025293460863074
36,Re:82.6 Si:17.4,Ceramic method,Promotor_Cl,1023.0,1.1494758098845124,0.6012266322380112,0.65,0.8022123255862428
37,Ge:39.7 Si:32.2 Cd:28.2,Ceramic method,,1050.3944491100947,1.5574563208891883,2.332688313139482,2.9715792598134496,0.7963780077545459
38,Si:55.5 B:23.8 Ge:20.7,Ceramic method,,1030.2565894373438,1.473554785482471,1.7808639720298702,0.25,0.7867668396518013
